Metric,College Mathematics,Business Ethics,Professional Law,Average
ECE,60.8,35.3,42.9,46.3
AUROC,50.7,56.7,51.7,53.0
PR-P,53.4,63.5,52.2,56.4
PR-N,74.9,41.0,48.8,54.9
Accuracy,34.0,57.6,48.9,46.8
