Metric,College Mathematics,Business Ethics,Professional Law,Average
ECE,38.2,15.5,21.6,22.2
AUROC,47.2,42.7,57.0,55.7
PR-P,35.6,69.7,55.6,55.3
PR-N,66.0,31.4,45.4,45.8
Accuracy,38.2,73.0,50.0,50.6
